,Chr,Start,End,Amp_name.x,Color,Color2,L1_DNA_count,L2_DNA_count,L3_DNA_count,L4_DNA_count,L1_RNA_count,L2_RNA_count,L3_RNA_count,L4_RNA_count,DNA_count_mean,DNA_count_SD,RNA_count_mean,RNA_count_SD,Pass_DNA_count,L1_DNA_prop,L2_DNA_prop,L3_DNA_prop,L4_DNA_prop,L1_RNA_prop,L2_RNA_prop,L3_RNA_prop,L4_RNA_prop,DNA_prop_mean,DNA_prop_SD,RNA_prop_mean,RNA_prop_SD,Sign,L1_Activity,L2_Activity,L3_Activity,L4_Activity,Mean_act,Mean_act_SD,Maxi_counts,Maxi_prop,GC,GC_above_mean,Pass_prop_DNA_and_RNA,Mean_act_2,Perfect_In_silico_specificity,Amp_name2,At_least_1_specific_in_sil_prod,MeanRatio_MoM,MeanRatio,MeanRatio_sd,MSD,Amp_Full_Name,Pass_MeanRatio_SD,Passed_QC,Passed_QC_with_SD,Act_Rank_Clean,training,fit,lwr,upr,Residuals_Manual,Residuals_Z_scaled_to_lm,Pvalue,Amp_name.y,type,PhastBaseWise_min,PhastBaseWise_med,PhastBaseWise_max,method,PhastBaseWise_quantile75,PhastBaseWise_quantile90,PhastBaseWise_quantile95,ovlp_consEl_result_STAR408_all_ovlp_cons_element,ovlp_consEl_lod_bg_100,ovlp_consEl_lod_bg_1000,ovlp_consEl_lod_bg_3000,ovlp_consEl_lod_bg_50,ovlp_consEl_lod_bg_500,ovlp_consEl_lod_bg_5000,ovlp_consEl_all,ovlp_TF_fBrain,ovlp_TF_fHeart,ovlp_TF_fLung,ovlp_TF_K562,ovlp_TF_LHCN-M2,ovlp_ATAC_neuron_STAR408_result_ovlp_ATAC_merged,ovlp_ATAC_neuron_STAR408_result_ovlp_ATAC_ACC,ovlp_ATAC_neuron_STAR408_result_ovlp_ATAC_AMY,ovlp_ATAC_neuron_STAR408_result_ovlp_ATAC_DLPFC,ovlp_ATAC_neuron_STAR408_result_ovlp_ATAC_HIPP,ovlp_ATAC_neuron_STAR408_result_ovlp_ATAC_INS,ovlp_ATAC_neuron_STAR408_result_ovlp_ATAC_ITC,ovlp_ATAC_neuron_STAR408_result_ovlp_ATAC_MDT,ovlp_ATAC_neuron_STAR408_result_ovlp_ATAC_NAC,ovlp_ATAC_neuron_STAR408_result_ovlp_ATAC_OFC,ovlp_ATAC_neuron_STAR408_result_ovlp_ATAC_PMC,ovlp_ATAC_neuron_STAR408_result_ovlp_ATAC_PUT,ovlp_ATAC_neuron_STAR408_result_ovlp_ATAC_PVC,ovlp_ATAC_neuron_STAR408_result_ovlp_ATAC_STC,ovlp_ATAC_neuron_STAR408_result_ovlp_ATAC_VLPFC,ovlp_ATAC_glia_STAR408_result_ovlp_ATAC_merged,ovlp_ATAC_glia_STAR408_result_ovlp_ATAC_ACC,ovlp_ATAC_glia_STAR408_result_ovlp_ATAC_AMY,ovlp_ATAC_glia_STAR408_result_ovlp_ATAC_DLPFC,ovlp_ATAC_glia_STAR408_result_ovlp_ATAC_HIPP,ovlp_ATAC_glia_STAR408_result_ovlp_ATAC_INS,ovlp_ATAC_glia_STAR408_result_ovlp_ATAC_ITC,ovlp_ATAC_glia_STAR408_result_ovlp_ATAC_MDT,ovlp_ATAC_glia_STAR408_result_ovlp_ATAC_NAC,ovlp_ATAC_glia_STAR408_result_ovlp_ATAC_OFC,ovlp_ATAC_glia_STAR408_result_ovlp_ATAC_PMC,ovlp_ATAC_glia_STAR408_result_ovlp_ATAC_PUT,ovlp_ATAC_glia_STAR408_result_ovlp_ATAC_PVC,ovlp_ATAC_glia_STAR408_result_ovlp_ATAC_STC,ovlp_ATAC_glia_STAR408_result_ovlp_ATAC_VLPFC
1,chr1,145789010,145789935,45_GWAS,STAR408,GWAS,35203,11478,16603,10941,21404,656,23332,249,18556.25,11387.4657225975,11410.25,12678.466741553,TRUE,0.00211612376426703,0.00113961579093099,0.00115625017844442,0.00115277576435923,0.00153945968525116,3.64143594955264e-05,0.00140995977991986,2.62195554254133e-05,0.00139119137450042,0.000483341360649751,0.000753013345022989,0.000835028898310029,Negative,0.727490381822909,0.0319531896498016,1.21942448633113,0.0227447143113625,0.500403193028801,0.581997491258341,17174,0.000946106678747453,0.47,Above,TRUE,0.541272292816938,TRUE,45_GWAS,TRUE,0.541272292816938,0.500403193028801,0.581997491258341,-0.0815942982295399,45_EPIL,FALSE,TRUE,FALSE,71,TRUE,-9.88495319497088,-10.0506495812676,-9.71925680867414,-0.490083751782448,-0.590886212660821,0.277298332261211,45_Epilepsy,STAR408,0,0.015748,0.685039,PhastCons,0.0629921,0.181102,0.440945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,chr1,186900475,186901398,118_GWAS,STAR408,GWAS,50197,16642,19564,13195,18338,20626,103204,22050,24899.5,17064.7071759231,41054.5,41461.2041753091,TRUE,0.00301741792747065,0.00165228901545992,0.00136244487721423,0.00139024209344585,0.00131895123418925,0.00114325569758634,0.00623644191002568,0.00231266966674316,0.00185559847839766,0.000785475696492238,0.00275282962713611,0.00237879737183017,Positive,0.437112546519158,0.691922349473534,4.57739025947035,1.66350139853052,1.84248163849839,1.898298189925,33111,0.00182401655584778,0.35,Below,TRUE,1.48352655985859,TRUE,118_GWAS,TRUE,1.48352655985859,1.84248163849839,1.898298189925,-0.0558165514266133,118_EPIL,FALSE,TRUE,FALSE,233,TRUE,-8.88724540904121,-9.03356858604234,-8.74092223204008,0.382376448554567,0.461025224107818,0.322390254084237,118_Epilepsy,STAR408,0,0,1,PhastCons,0.023622,0.6204722,0.937008,8,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,chr1,200857177,200858093,119_GWAS,STAR408,GWAS,10185,5464,8915,12280,222,1548,122,1697,9211,2857.45002872608,897.25,840.644742643011,TRUE,0.000612283736587434,0.000542555997686021,0.000620882112202506,0.00129384382764538,1.60382859056766e-05,8.58536420982807e-05,7.43260844855538e-06,0.000178083220449407,0.000767391418530335,0.000352716352218812,7.185193922548e-05,7.90488179723251e-05,Negative,0.0261942053125012,0.158239227774539,0.0119710461977864,0.137638883955179,0.0835108408100016,0.0750939762141616,8818,0.000485805810764121,0.33,Below,TRUE,0.0936314082884675,TRUE,119_GWAS,TRUE,0.0936314082884675,0.0835108408100016,0.0750939762141616,0.00841686459583998,119_EPIL,TRUE,TRUE,TRUE,3,FALSE,-10.1293349630788,-10.3106759300321,-9.94799399612547,-3.63527841698258,-4.38299757534503,5.85287081369559e-06,119_Epilepsy,STAR408,0,0.425197,1,PhastCons,1,1,1,19,15,0,0,17,4,0,19,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,chr1,239806532,239807447,120_GWAS,STAR408,GWAS,31741,9080,14988,8663,25529,28887,410,15488,16118,10808.4149007459,17578.5,12783.0643822207,TRUE,0.00190802183062618,0.000901546388835637,0.00104378667337409,0.000912780956169658,0.00183613201422387,0.00160112331370893,2.48357892061485e-05,0.00162445877593691,0.00119153396225139,0.000482002820888706,0.00127163747326897,0.000837896635792368,Positive,0.962322330254095,1.77597440745873,0.0237939320741332,1.77968083685016,1.13544287665928,0.834876695663118,10610,0.000584520405716985,0.35,Below,TRUE,1.06722721597143,TRUE,120_GWAS,TRUE,1.06722721597143,1.13544287665928,0.834876695663118,0.300566180996163,120_EPIL,TRUE,TRUE,TRUE,172,TRUE,-9.55736290201336,-9.70473501182776,-9.40999079219897,-0.0617339463521756,-0.0744316407552235,0.470333466469866,120_Epilepsy,STAR408,0,0,1,PhastCons,0.015748,0.976378,1,8,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,chr1,243381063,243381978,280_GWAS,STAR408,GWAS,49748,11782,15299,7933,631,42333,514,8379,21190.5,19274.5234009387,12964.25,19922.0629349305,TRUE,0.00299042839303831,0.00116979639903648,0.00106544373224522,0.000835873050121198,4.54537968268503e-05,0.00234637061626121,3.11202711463904e-05,0.000878879497859855,0.0015153853936103,0.000993204934696787,0.000825456045523577,0.00108863952208998,Negative,0.015199760988314,2.00579401526097,0.0292087420523001,1.05145093233048,0.775413362658015,0.953026642885232,23285,0.00128273887169218,0.4,Below,TRUE,0.544716907662007,TRUE,280_GWAS,TRUE,0.544716907662007,0.775413362658015,0.953026642885232,-0.177613280227217,280_SCZ,FALSE,TRUE,FALSE,113,TRUE,-9.42778999157735,-9.54086980109898,-9.31471018205573,-0.814730992450109,-0.982308245713765,0.162974006748689,280_SZ108,STAR408,0,0,1,PhastCons,0,0.0787402,0.477214399999999,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,chr1,243391334,243392273,281_GWAS,STAR408,GWAS,34781,24311,38586,23556,34828,27117,34836,8601,30308.5,7529.64197909392,26345.5,12376.1045163654,TRUE,0.00209075720851994,0.0024136544219108,0.00268707694746053,0.00248180759285418,0.00250492134443413,0.00150302070136938,0.00210512016684816,0.000902162463077622,0.00241832404268636,0.000247372944606899,0.00175380616893232,0.000701376238658303,Negative,1.19809288913435,0.622715782228467,0.783423849785039,0.363510235714969,0.741935689215707,0.349866578657413,61763,0.0034023483497035,0.45,Above,TRUE,0.725215536865825,TRUE,281_GWAS,TRUE,0.725215536865825,0.741935689215707,0.349866578657413,0.392069110558294,281_SCZ,TRUE,TRUE,TRUE,108,TRUE,-8.95484730238904,-9.07257930982509,-8.83711529495299,-0.200447672673087,-0.24167658224069,0.404515388203407,281_SZ108,STAR408,0,0,0.96063,PhastCons,0,0.0142866400000001,0.153829999999999,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,chr1,243445210,243446133,282_GWAS,STAR408,GWAS,12556,10958,26790,8989,316,34929,241,148,14823.25,8110.12040087363,8908.5,17347.1361036916,TRUE,0.000754805309280228,0.00108799106654,0.00186564072095304,0.000947126130651572,2.27988189780246e-05,0.00193600240057647,1.46235060532553e-05,1.56268550335463e-05,0.00116389080685621,0.000487357357487663,0.000497262895160323,0.000959166579049968,Negative,0.0302049001215495,1.77942858182953,0.00783832915363523,0.0164992333415993,0.458492761111577,0.880672021803255,22993,0.00126665368099674,0.41,Below,TRUE,0.427241878903985,TRUE,282_GWAS,TRUE,0.427241878903985,0.458492761111577,0.880672021803255,-0.422179260691678,282_SCZ,FALSE,TRUE,FALSE,62,TRUE,-9.87384843299152,-10.0039544570461,-9.74374240893696,-1.09985516264294,-1.32607793905812,0.0924069413135985,282_SZ108,STAR408,0,0,0.999,PhastCons,0,0.0235984,0.117992,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,chr1,243500129,243501045,283_GWAS,STAR408,GWAS,28445,13969,19716,12748,21977,24230,67014,14198,18719.5,7160.17748848914,31854.75,23830.235967149,TRUE,0.00170989821038348,0.00138691807642703,0.00137302967769143,0.00134314917015316,0.00158067016876664,0.00134300813536697,0.00404956305024341,0.00148916586994178,0.00145324878366378,0.000172071420071502,0.0021156018060797,0.00129301726111655,Positive,0.924423547067249,0.968339917255115,2.94936308809596,1.10871219893764,1.48770968783899,0.977600121736586,21293,0.00117300702283833,0.37,Below,TRUE,1.45577400776904,TRUE,283_GWAS,TRUE,1.45577400776904,1.48770968783899,0.977600121736586,0.510109566102406,283_SCZ,TRUE,TRUE,TRUE,214,TRUE,-9.35064027351586,-9.4773776415802,-9.22390290545151,0.465924100968419,0.56175730455728,0.287140692635174,283_SZ108,STAR408,0,0.0393701,1,PhastCons,0.897638,1,1,18,0,0,0,5,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,chr1,2455211,2456130,267_GWAS,STAR408,GWAS,9003,2425,4450,2430,1655,600,6351,205,4577,3100.87718772178,2202.75,2832.42068144311,TRUE,0.000541233336366901,0.000240849194947171,0.00030995359818454,0.000256113862470965,0.000119100454976684,3.33105480316764e-05,0.00038383682004247,2.16049136705406e-05,0.000337037497992394,0.000139320137892307,0.000139463184180343,0.000168614025448626,Negative,0.220053804845357,0.138304585319386,1.23836865353614,0.08435667426237,0.420270929490813,0.548243920531885,9025,0.000497208668551645,0.64,Above,TRUE,0.413791299220628,TRUE,267_GWAS,TRUE,0.413791299220628,0.420270929490813,0.548243920531885,-0.127972991041072,267_SCZ,FALSE,TRUE,FALSE,55,TRUE,-12.8257765677591,-13.3624724005518,-12.2890807349664,0.0179485144905964,0.0216402394726694,0.491367467290725,267_SZ108,STAR408,0,0,1,PhastCons,0,0.02203466,0.749605899999999,3,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,chr1,29958254,29959169,269_GWAS,STAR408,GWAS,116435,79947,99665,55816,40012,31157,2261,30439,87965.75,26110.5178216876,25967.25,16392.7966370395,TRUE,0.00699900541461756,0.00793710281848161,0.00694042581816678,0.00588050492042033,0.00287775755131766,0.00172693852840428,0.000136687482200262,0.00319249306859833,0.00693925974292157,0.000840678988007239,0.00198346915763013,0.00138298000332755,Negative,0.411166641664173,0.217577945995999,0.0196943942319041,0.542894379275535,0.297833340291903,0.228547261091029,191077,0.0105257742044661,0.53,Above,TRUE,0.28583296073524,TRUE,269_GWAS,TRUE,0.28583296073524,0.297833340291903,0.228547261091029,0.0692860792008736,269_SCZ,TRUE,TRUE,TRUE,33,TRUE,-7.73481086446178,-7.94685274020738,-7.52276898871619,-1.24294745603196,-1.49860204946593,0.0669884503684298,269_SZ108,STAR408,0,0,0.114,PhastCons,0.00179528,0.00538583,0.01193858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
