Amplicon	GC
1_CACNA1C	0.36
10_CACNA1C	0.44
100_SCN1A	0.38
101_SCN1A	0.34
102_SCN1A	0.37
103_SCN1A	0.35
104_SCN1A	0.29
105_SCN1A	0.37
106_SCN1A	0.43
107_SCN1A	0.36
108_SCN1A	0.36
109_SCN1A	0.34
11_CACNA1C	0.51
110_SCN1A	0.42
111_SCN1A	0.46
112_SCN1A	0.38
113_SCN1A	0.42
114_SCN1A	0.35
115_SCN1A	0.35
116_Epilepsy	0.47
117_Epilepsy	0.44
118_Epilepsy	0.35
119_Epilepsy	0.33
12_CACNA1C	0.52
120_Epilepsy	0.35
121_NCASD	0.38
122_NCASD	0.31
122UN_NCASD	0.31
123_NCASD	0.35
123UN_NCASD	0.36
124_NCASD	0.38
124UN_NCASD	0.42
125_NCASD	0.34
125UN_NCASD	0.34
126_NCASD	0.37
126UN_NCASD	0.37
127_NCASD	0.36
127UN_NCASD	0.36
128_NCASD	0.43
129_NCASD	0.33
13_CACNA1C	0.48
130_NCASD	0.36
131_NCASD	0.34
132_NCASD	0.31
133_NCASD	0.35
134_NCASD	0.36
135_NCASD	0.35
136_NCASD	0.36
137_NCASD	0.34
138_NCASD	0.38
138UN_NCASD	0.35
139_NCASD	0.39
139UN_NCASD	0.26
14_CACNA1C	0.49
140_NCASD	0.38
140UN_NCASD	0.38
141_NCASD	0.38
141UN_NCASD	0.38
142_NCASD	0.35
142UN_NCASD	0.32
143_NCASD	0.39
144_NCASD	0.34
145_NCASD	0.39
146_NCASD	0.37
146UN_NCASD	0.39
147_NCASD	0.31
147UN_NCASD	0.27
148_NCASD	0.27
148UN_NCASD	0.22
149_NCASD	0.34
149UN_NCASD	0.35
15_CACNA1C	0.48
150_NCASD	0.27
150UN_NCASD	0.24
151_NCASD	0.32
151UN_NCASD	0.33
152_NCASD	0.33
152UN_NCASD	0.31
153_NCASD	0.37
153UN_NCASD	0.36
154_NCASD	0.40
154UN_NCASD	0.39
155_NCASD	0.38
155UN_NCASD	0.38
156_NCASD	0.33
157_NCASD	0.38
157UN_NCASD	0.37
158_NCASD	0.37
158UN_NCASD	0.35
159_NCASD	0.34
16_CACNA1C	0.51
160_NCASD	0.36
161_NCASD	0.34
162_NCASD	0.37
163_NCASD	0.39
164_NCASD	0.40
164UN_NCASD	0.39
165_NCASD	0.48
165UN_NCASD	0.54
166_NCASD	0.36
167_NCASD	0.44
168_NCASD	0.39
169_NCASD	0.44
17_CACNA1C	0.48
170_NCASD	0.49
171_NCASD	0.42
171UN_NCASD	0.41
172_NCASD	0.47
172UN_NCASD	0.47
173_NCASD	0.43
174_NCASD	0.51
175_NCASD	0.47
176_NCASD	0.48
177_NCASD	0.38
177UN_NCASD	0.38
178_NCASD	0.39
178UN_NCASD	0.40
179_NCASD	0.41
179UN_NCASD	0.42
18_CACNA1C	0.42
180_NCASD	0.43
180UN_NCASD	0.43
181_NCASD	0.40
182_NCASD	0.39
183_NCASD	0.40
184_NCASD	0.36
184UN_NCASD	0.35
185_NCASD	0.45
185UN_NCASD	0.51
186_NCASD	0.36
187_NCASD	0.43
188_NCASD	0.43
189_NCASD	0.36
19_CACNA1C	0.55
190_NCASD	0.48
191_NCASD	0.44
191UN_NCASD	0.43
192_NCASD	0.39
192UN_NCASD	0.37
193_NCASD	0.48
194_NCASD	0.42
195_NCASD	0.45
196_NCASD	0.41
197_NCASD	0.46
198_NCASD	0.47
199_NCASD	0.47
199UN_NCASD	0.47
2_CACNA1C	0.41
20_CACNA1C	0.56
200_NCASD	0.44
200UN_NCASD	0.44
201_NCASD	0.48
202_NCASD	0.45
203_NCASD	0.42
204_NCASD	0.42
204UN_NCASD	0.43
205_NCASD	0.37
205UN_NCASD	0.36
206_NCASD	0.46
207_NCASD	0.43
208_NCASD	0.41
209_NCASD	0.48
209UN_NCASD	0.50
21_CACNA1C	0.47
210_NCASD	0.35
210UN_NCASD	0.33
211_NCASD	0.48
212_NCASD	0.50
213_NCASD	0.44
214_NCASD	0.45
214UN_NCASD	0.43
215_NCASD	0.44
215UN_NCASD	0.42
216_NCASD	0.40
217_NCASD	0.44
218_NCASD	0.47
218UN_NCASD	0.44
219_NCASD	0.45
219UN_NCASD	0.40
22_CACNA1C	0.49
220_NCASD	0.45
221_NCASD	0.44
222_NCASD	0.44
223_NCASD	0.43
224_NCASD	0.39
224UN_NCASD	0.41
225_NCASD	0.41
225UN_NCASD	0.44
226_NCASD	0.43
227_NCASD	0.43
228_NCASD	0.44
228UN_NCASD	0.45
229_NCASD	0.43
229UN_NCASD	0.42
23_Epilepsy	0.59
230_NCASD	0.55
231_NCASD	0.41
232_NCASD	0.44
233_NCASD	0.40
234_NCASD	0.37
235_NCASD	0.46
236_NCASD	0.42
237_NCASD	0.39
238_NCASD	0.40
239_NCASD	0.41
24_Epilepsy	0.50
240_NCASD	0.40
241_NCASD	0.34
242_NCASD	0.41
243_NCASD	0.42
244_NCASD	0.64
245_NCASD	0.55
246_NCASD	0.59
247_NCASD	0.41
248_NCASD	0.42
249_NCASD	0.43
25_Epilepsy	0.45
250_SCN1A	0.37
250UN_SCN1A	0.37
251_Control_Grik1	0.35
252_Control_Arid1b_1	0.38
252UN_Control_Arid1b_1	0.39
253_Control_NEG1	0.59
254_Control_Arx_hs145	0.47
255_Control_Klhl32_hs676	0.41
256_Control_NEG2	0.55
257_Control_Btrc_hs897	0.45
258_Control_Arx_hs122	0.39
259_Control_Scn1a	0.44
26_Epilepsy	0.41
260_Control_Dmrt3_hs112	0.46
261_Control_Arid1b_2	0.46
262_Control_Chic2_hs687	0.38
263_Control_NEG3	0.61
264_Control_NEG4	0.56
265_Control_Arid1b_3	0.39
265UN_Control_Arid1b_3	0.52
266_Control_Etv1_hs550	0.39
267_SZ108	0.64
268_SZ108	0.55
269_SZ108	0.53
27_Epilepsy	0.40
270_SZ108	0.61
271_SZ108	0.45
272_SZ108	0.37
273_SZ108	0.40
274_SZ108	0.34
275_SZ108	0.31
276_SZ108	0.39
277_SZ108	0.46
278_SZ108	0.42
279_SZ108	0.46
28_Epilepsy	0.35
280_SZ108	0.40
281_SZ108	0.45
282_SZ108	0.41
283_SZ108	0.37
284_SZ108	0.43
285_SZ108	0.45
286_SZ108	0.60
287_SZ108	0.34
288_SZ108	0.41
289_SZ108	0.36
29_Epilepsy	0.47
290_SZ108	0.39
291_SZ108	0.36
292_SZ108	0.33
293_SZ108	0.47
294_SZ108	0.36
295_SZ108	0.67
296_SZ108	0.40
297_SZ108	0.41
298_SZ108	0.56
299_SZ108	0.44
3_CACNA1C	0.43
30_Epilepsy	0.28
300_SZ108	0.38
301_SZ108	0.69
302_SZ108	0.49
303_SZ108	0.48
304_SZ108	0.47
305_SZ108	0.59
306_SZ108	0.56
307_SZ108	0.58
308_SZ108	0.37
309_SZ108	0.42
31_Epilepsy	0.46
310_SZ108	0.28
311_SZ108	0.36
312_SZ108	0.43
313_SZ108	0.34
314_SZ108	0.35
315_SZ108	0.35
316_SZ108	0.32
317_SZ108	0.37
318_SZ108	0.42
319_SZ108	0.43
32_Epilepsy	0.53
320_SZ108	0.34
321_SZ108	0.43
322_SZ108	0.39
323_SZ108	0.41
324_SZ108	0.47
325_SZ108	0.37
326_SZ108	0.41
327_SZ108	0.42
328_SZ108	0.49
329_SZ108	0.36
33_Epilepsy	0.34
330_SZ108	0.33
331_SZ108	0.61
332_SZ108	0.43
333_SZ108	0.51
334_SZ108	0.43
335_SZ108	0.38
336_SZ108	0.37
337_SZ108	0.47
338_SZ108	0.41
339_SZ108	0.41
34_Epilepsy	0.50
340_SZ108	0.56
341_SZ108	0.40
342_SZ108	0.39
343_SZ108	0.40
344_SZ108	0.31
345_SZ108	0.38
346_SZ108	0.57
347_SZ108	0.38
348_SZ108	0.44
349_SZ108	0.45
35_Epilepsy	0.39
350_SZ108	0.42
351_SZ108	0.41
352_SZ108	0.57
353_SZ108	0.42
354_SZ108	0.37
355_SZ108	0.44
356_SZ108	0.40
357_SZ108	0.41
358_SZ108	0.39
359_SZ108	0.52
36_Epilepsy	0.35
360_SZ108	0.40
361_SZ108	0.43
362_SZ108	0.50
363_SZ108	0.46
364_SZ108	0.43
365_SZ108	0.37
366_SZ108	0.56
367_SZ108	0.39
368_SZ108	0.47
369_SZ108	0.38
37_Epilepsy	0.40
370_SZ108	0.41
371_SZ108	0.37
372_SZ108	0.41
373_SZ108	0.43
374_SZ108	0.36
375_SZ108	0.37
376_SZ108	0.53
377_SZ108	0.48
378_SZ108	0.50
379_SZ108	0.60
38_Epilepsy	0.33
380_SZ108	0.45
381_SZ108	0.47
382_SZ108	0.39
383_SZ108	0.52
384_SZ108	0.41
385_SZ108	0.58
386_SZ108	0.43
387_SZ108	0.36
388_SZ108	0.47
389_SZ108	0.48
39_Epilepsy	0.48
390_SZ108	0.42
